"external_submission_id";"search_query";"donation_platform"
"8329";"https://www.youtube.com/results?search_query=calendly+tutorial+deutsch";"YouTube"
"8329";"https://www.youtube.com/results?search_query=martina+keglovits";"YouTube"
"8329";"https://www.youtube.com/results?search_query=stefan+b%C3%BCrk";"YouTube"
"8329";"https://www.youtube.com/results?search_query=blender+tutorial+deutsch";"YouTube"
"8329";"https://www.youtube.com/results?search_query=powerpoint+corporate+design";"YouTube"
"8387";"https://www.youtube.com/results?search_query=walter+r%C3%B6hrl";"YouTube"
"8387";"https://www.youtube.com/results?search_query=Bivacco+Campestrin";"YouTube"
"8387";"https://www.youtube.com/results?search_query=pelletheizung";"YouTube"
"8387";"https://www.youtube.com/results?search_query=z%C3%BCrcher+geschnetzeltes+rezept";"YouTube"
"8387";"https://www.youtube.com/results?search_query=ragout+fin";"YouTube"
"8382";"https://www.youtube.com/results?search_query=hymer+venture+s";"YouTube"
"8382";"https://www.youtube.com/results?search_query=challenger+c194";"YouTube"
"8382";"https://www.youtube.com/results?search_query=rotatorenmanschette+training";"YouTube"
"8382";"https://www.youtube.com/results?search_query=rotatorenmanschette+training+reset+mobility";"YouTube"
"8382";"https://www.youtube.com/results?search_query=salut+salon";"YouTube"
"8622";"https://www.youtube.com/results?search_query=greg+davies";"YouTube"
"8622";"https://www.youtube.com/results?search_query=picknicker";"YouTube"
"8622";"https://www.youtube.com/results?search_query=begr%C3%BCssungslieder+im+kindergarten";"YouTube"
"8622";"https://www.youtube.com/results?search_query=media+markt+werbung+hund";"YouTube"
"8622";"https://www.youtube.com/results?search_query=policeman";"YouTube"
"8668";"https://www.youtube.com/results?search_query=ariel+the+little+mermaid+ending";"YouTube"
"8668";"https://www.youtube.com/results?search_query=6+von+der+m%C3%BCllabfuhr";"YouTube"
"8668";"https://www.youtube.com/results?search_query=excrementory+grindfuckers";"YouTube"
"8668";"https://www.youtube.com/results?search_query=van+helga";"YouTube"
"8668";"https://www.youtube.com/results?search_query=rudi+carrell+sprachen";"YouTube"
"8787";"https://www.youtube.com/results?search_query=cantoccini+chor";"YouTube"
"8787";"https://www.youtube.com/results?search_query=the+dark+knight";"YouTube"
"8787";"https://www.youtube.com/results?search_query=laura+malina+seiler";"YouTube"
"8787";"https://www.youtube.com/results?search_query=how+to+play+run+to+the+hills+on+guitar";"YouTube"
"8787";"https://www.youtube.com/results?search_query=hip+hop";"YouTube"
"8903";"https://www.youtube.com/results?search_query=und+dann+steht+einer+auf+und+%C3%B6ffnet+das+fenster";"YouTube"
"8903";"https://www.youtube.com/results?search_query=sea+is+a+desert";"YouTube"
"8903";"https://www.youtube.com/results?search_query=air+bach";"YouTube"
"8903";"https://www.youtube.com/results?search_query=kiss+fm";"YouTube"
"8903";"https://www.youtube.com/results?search_query=tu";"YouTube"
"8923";"https://www.youtube.com/results?search_query=khaleesi+khal";"YouTube"
"8923";"https://www.youtube.com/results?search_query=azumi";"YouTube"
"8923";"https://www.youtube.com/results?search_query=yachten+im+sturm";"YouTube"
"8923";"https://www.youtube.com/results?search_query=lindybeige+roman";"YouTube"
"8923";"https://www.youtube.com/results?search_query=29+palms";"YouTube"
"8989";"https://www.youtube.com/results?search_query=flugzeugbau+technik";"YouTube"
"8989";"https://www.youtube.com/results?search_query=steam+engine+homemade";"YouTube"
"8989";"https://www.youtube.com/results?search_query=servo+extruder";"YouTube"
"8989";"https://www.youtube.com/results?search_query=silber+reinigen+zitronens%C3%A4ure";"YouTube"
"8989";"https://www.youtube.com/results?search_query=russische+";"YouTube"
"9037";"https://www.youtube.com/results?search_query=i+hear+the+sound+of+victory";"YouTube"
"9037";"https://www.youtube.com/results?search_query=Br%C3%BCder+zum+Lichte+zur+Freiheit";"YouTube"
"9037";"https://www.youtube.com/results?search_query=mojib+latif+letzte+generation";"YouTube"
"9037";"https://www.youtube.com/results?search_query=freidenkeralarm";"YouTube"
"9037";"https://www.youtube.com/results?search_query=Imagine+Metal+version";"YouTube"
"9226";"vegan ist ungesund";"YouTube"
"9226";"michael butter";"YouTube"
"9226";"vegan ist ungesund";"YouTube"
"9226";"feuer und flamme";"YouTube"
"9226";"baby elephant walk";"YouTube"
"9269";"https://www.youtube.com/results?search_query=crowd+talkng";"YouTube"
"9269";"https://www.youtube.com/results?search_query=pressekonferenz+bayern+spanier";"YouTube"
"9269";"https://www.youtube.com/results?search_query=ave+verum+m%C3%A4nnerchor";"YouTube"
"9269";"https://www.youtube.com/results?search_query=raphael+perez+nutravya+darmgesundheit";"YouTube"
"9269";"https://www.youtube.com/results?search_query=botschaft+liebe";"YouTube"
"9238";"https://www.youtube.com/results?search_query=batman+66";"YouTube"
"9238";"https://www.youtube.com/results?search_query=junge+music+video";"YouTube"
"9238";"https://www.youtube.com/results?search_query=nadine+frauentausch";"YouTube"
"9238";"https://www.youtube.com/results?search_query=nicht+da%C3%9F+der+wind+sie+bewegt";"YouTube"
"9238";"https://www.youtube.com/results?search_query=creep+o+logie";"YouTube"
"9272";"https://www.youtube.com/results?search_query=philipp+steuer+schweine";"YouTube"
"9272";"https://www.youtube.com/results?search_query=vegane+champignon+rahm+pfanne";"YouTube"
"9272";"https://www.youtube.com/results?search_query=i+wish+i+knew+you+when+i+was+young";"YouTube"
"9272";"https://www.youtube.com/results?search_query=azidose";"YouTube"
"9272";"https://www.youtube.com/results?search_query=copien+sebastian";"YouTube"
